PYNAM,PYCOMNAM,PYSPP,PYABBR,MODCAT,GENCAT,GenSci,GenCom,ANALCAT,AnalSci,AnalCom,COLLCAT,CollSci,Collcom
ASYCHIS ELONGATA,,2.14E+14,ASYELO,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
CLYMENELLA SP,,2.14E+14,CLYMSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
CLYMENELLA TORQUATA,,2.14E+14,CLYTOR,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
CLYMENELLA ZONALIS,,2.14E+14,CLYZON,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
EUCLYMENE SP,,2.14E+14,EUCLSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
EUCLYMENE COLLARIS,,2.14E+14,EUCCOL,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
MALDANE SP,,2.14E+14,MALDSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
MALDANE SARSI,,2.14E+14,MALSAR,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
NICOMACHE SP,,2.14E+14,NICOS1,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
NICOMACHE LUMBRICALIS,,2.14E+14,NICLUM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PRAXILLELLA SP,,2.14E+14,PRAXSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PRAXILLELLA GRACILIS,,2.14E+14,PRAGRA,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PRAXILLURA ORNATA,,2.14E+14,PRAORN,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
RHODINE SP,,2.14E+14,RHODSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
RHODINE LOVENI,,2.14E+14,RHOLOV,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
EUNICIDA,,2.14E+14,EUNICI,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ARABELLIDAE,,2.14E+14,ARAFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ARABELLA IRICOLOR,,2.14E+14,ARAIRI,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
DRILONEREIS SP,,2.14E+14,DRILSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
DRILONEREIS LONGA,,2.14E+14,DRILON,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
DRILONEREIS MAGNA,,2.14E+14,DRIMAG,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
NOTOCIRRUS SPINIFERUS,,2.14E+14,NOTOSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
EUNICIDAE,,2.14E+14,EUNFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
EUNICE SP,,2.14E+14,EUNISP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
EUNICE NORVEGICA,,2.14E+14,EUNNOR,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
EUNICE PENNATA,,2.14E+14,EUNPEN,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
MARPHYSA SP,,2.14E+14,MARPSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
MARPHYSA BELLI,,2.14E+14,MARBEL,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
MARPHYSA SANGUINEA,,2.14E+14,MARSAN,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
LUMBRINERIDAE,,2.14E+14,LUMFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
LUMBRINERIDES SP,,2.14E+14,LUMBSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
LUMBRINERIDES ACUTA,,2.14E+14,LUMACU,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
LUMBRINERIS SP,,2.14E+14,LUMBS1,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
LUMBRINERIS FRAGILIS,,2.14E+14,LUMFRA,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
LUMBRINERIS LATREILLI,,2.14E+14,LUMLAT,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
LUMBRINERIS TENUIS,,2.14E+14,LUMTEN,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
LUMBRINERIS GRACILIS,,2.14E+14,LUMGRA,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
NINOE SP,,2.14E+14,NINOSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
NINOE NIGRIPES,,2.14E+14,NINNIG,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PARANINOE BREVIPES,,2.14E+14,PARBRE,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ONUPHIDAE,,2.14E+14,ONUFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
DIOPATRA CUPREA,,2.14E+14,DIOCUP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
NOTHRIA CONCHYLEGA,,2.14E+14,NOTCON,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ONUPHIS EREMITA,,2.14E+14,ONUERE,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ONUPHIS OPALINA,,2.14E+14,ONUOPA,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
MOOREONUPHIS NEBULOSA,,2.14E+14,MOONEB,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
SARSONUPHIS QUADRICUSPIS,,2.14E+14,SARQUA,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
FLABELLIGERIDAE,,2.14E+14,FLAFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
BRADA SP,,2.14E+14,BRADSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
BRADA VILLOSA,,2.14E+14,BRAVIL,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
DIPLOCIRRUS HIRSUTUS,,2.14E+14,DIPHIR,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PHERUSA SP,,2.14E+14,PHERSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PHERUSA AFFINIS,,2.14E+14,PHEAFF,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PHERUSA ARENOSA,,2.14E+14,PHEARE,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PHERUSA PLUMOSA,,2.14E+14,PHEPLU,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
OPHELIIDA,,2.14E+14,OPHELI,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
OPHELIIDAE,,2.14E+14,OPHFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
OPHELIA SP,,2.14E+14,OPHESP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
OPHELIA BICORNIS,,2.14E+14,OPHBIC,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
OPHELIA DENTICULATA,,2.14E+14,OPHDEN,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
