PYNAM,PYCOMNAM,PYSPP,PYABBR,MODCAT,GENCAT,GenSci,GenCom,ANALCAT,AnalSci,AnalCom,COLLCAT,CollSci,Collcom
GLYCERA ROBUSTA,,2.14E+14,GLYROB,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GONIADIDAE,,2.14E+14,GONFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GLYCINDE SP,,2.14E+14,GLYSP2,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GLYCINDE SOLITARIA,,2.14E+14,GLYSOL,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GONIADA SP,,2.14E+14,GONISP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GONIADA MACULATA,,2.14E+14,GONMAC,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GONIADA NORVEGICA,,2.14E+14,GONNOR,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GONIADELLA SP,,2.14E+14,GONIS1,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GONIADELLA GRACILIS,,2.14E+14,GONGRA,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
OPHIOGLYCERA GIGANTEA,,2.14E+14,OPHGIG,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
HESIONIDAE,,2.14E+14,HESFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
NEREIMYRA SP,,2.14E+14,NERESP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
NEPHTYIDAE,,2.14E+14,NEPFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
