,time,bt
0,1993-01-01,7.212438793656249
1,1993-02-01,6.8986288884164875
2,1993-03-01,6.34490788674009
3,1993-04-01,5.841670936679248
4,1993-05-01,5.72090558803353
5,1993-06-01,5.987801140633183
6,1993-07-01,6.226317890435766
7,1993-08-01,6.621448044451127
8,1993-09-01,7.063045947941688
9,1993-10-01,7.551712868376549
10,1993-11-01,7.7793294011189085
11,1993-12-01,7.655437128390831
12,1994-01-01,7.498042744632587
13,1994-02-01,7.310442247252533
14,1994-03-01,7.172259753782063
15,1994-04-01,7.11088456352305
16,1994-05-01,6.933253190532234
17,1994-06-01,7.057721693816886
18,1994-07-01,7.285178235352163
19,1994-08-01,7.5917091789206115
20,1994-09-01,7.97788621624064
21,1994-10-01,8.284948671826665
22,1994-11-01,8.42686240766853
23,1994-12-01,8.384667989876947
24,1995-01-01,8.009732398927582
25,1995-02-01,7.594685958779377
26,1995-03-01,7.232481682769507
27,1995-04-01,7.059585416785925
28,1995-05-01,6.965068258113742
29,1995-06-01,7.011983358341714
30,1995-07-01,7.2248349986955
31,1995-08-01,7.644759825297764
32,1995-09-01,8.00957543509347
33,1995-10-01,8.07378031550974
34,1995-11-01,8.023000539953417
35,1995-12-01,7.9345969408442025
36,1996-01-01,7.570571425045006
37,1996-02-01,7.3784890522868
38,1996-03-01,7.239621113546146
39,1996-04-01,7.024610067499844
40,1996-05-01,7.037953279280021
41,1996-06-01,7.146214013267501
42,1996-07-01,7.234187686418648
43,1996-08-01,7.6011581647963755
44,1996-09-01,7.888242164260359
45,1996-10-01,7.992112018553613
46,1996-11-01,7.9667069773743115
47,1996-12-01,7.877724094667297
48,1997-01-01,7.793237495126191
49,1997-02-01,7.40728715833423
50,1997-03-01,7.133324190943385
51,1997-04-01,6.775903556411064
52,1997-05-01,6.870064328175895
53,1997-06-01,7.117678245402271
54,1997-07-01,7.322490434468903
55,1997-08-01,7.625363703346648
56,1997-09-01,7.780844315732241
57,1997-10-01,7.746321629786837
58,1997-11-01,7.8764889551245645
59,1997-12-01,7.84403165576374
60,1998-01-01,7.6322514097636285
61,1998-02-01,6.995012036021452
62,1998-03-01,6.6395362284859765
63,1998-04-01,6.332513954575264
64,1998-05-01,6.229186245620127
65,1998-06-01,6.154721837112869
66,1998-07-01,6.212026875952016
67,1998-08-01,6.288954004244281
68,1998-09-01,6.418513985647672
69,1998-10-01,6.584538467182136
70,1998-11-01,6.78187532553268
71,1998-12-01,6.771847048654813
72,1999-01-01,6.630161546031881
73,1999-02-01,6.440088481142901
74,1999-03-01,6.170583883674495
75,1999-04-01,6.226712160228942
76,1999-05-01,6.322650217368243
77,1999-06-01,6.465557218338391
78,1999-07-01,6.847689150283055
79,1999-08-01,7.358973123025203
80,1999-09-01,7.619906002443523
81,1999-10-01,8.071074967058548
82,1999-11-01,8.27819593846181
83,1999-12-01,8.256676039587143
84,2000-01-01,8.018807570139566
85,2000-02-01,7.639956475538249
86,2000-03-01,7.243747363672987
87,2000-04-01,7.1251785937796965
88,2000-05-01,6.900172632920323
89,2000-06-01,7.0437233680030085
90,2000-07-01,7.293334444117102
91,2000-08-01,7.617180181586224
92,2000-09-01,7.678905670193658
93,2000-10-01,7.822414697820849
94,2000-11-01,8.065186604703188
95,2000-12-01,7.900405603906383
96,2001-01-01,7.595965086303142
97,2001-02-01,7.395572593493491
98,2001-03-01,7.050391942077542
99,2001-04-01,6.752658671473864
100,2001-05-01,6.648920012310178
101,2001-06-01,6.653130429625264
102,2001-07-01,6.971601129318616
103,2001-08-01,7.109511414423245
104,2001-09-01,7.294946435075369
105,2001-10-01,7.400337277979091
106,2001-11-01,7.5189606289439075
107,2001-12-01,7.58900989706225
108,2002-01-01,7.49309079543404
109,2002-02-01,7.160400368905709
110,2002-03-01,7.050344934127839
111,2002-04-01,7.046089022796346
112,2002-05-01,6.9786252990272475
113,2002-06-01,7.118230992962855
114,2002-07-01,7.365374806504812
115,2002-08-01,7.707260964079674
116,2002-09-01,7.933232897310277
117,2002-10-01,8.164444912541233
118,2002-11-01,8.297817267246128
119,2002-12-01,8.076120191972942
120,2003-01-01,7.571049091238413
121,2003-02-01,7.01813332585321
122,2003-03-01,6.579487175181292
123,2003-04-01,6.077130518591429
124,2003-05-01,5.929065330428366
125,2003-06-01,6.087185321387297
126,2003-07-01,6.37406311321456
127,2003-08-01,6.63920185284585
128,2003-09-01,6.907362120985738
129,2003-10-01,7.147929859951169
130,2003-11-01,7.36120987777631
131,2003-12-01,7.41256969216941
132,2004-01-01,7.367846623464154
133,2004-02-01,6.816050732604712
134,2004-03-01,6.020630720979678
135,2004-04-01,5.4066551728771834
136,2004-05-01,5.396350910451348
137,2004-06-01,5.594826607723907
138,2004-07-01,5.845337700152743
139,2004-08-01,5.997205389459188
140,2004-09-01,6.266802493089474
141,2004-10-01,6.6050749560567406
142,2004-11-01,6.722937070558284
143,2004-12-01,6.559692986510061
144,2005-01-01,6.104218824309592
145,2005-02-01,5.718603621358457
146,2005-03-01,5.715253787998334
147,2005-04-01,5.535194578131287
148,2005-05-01,5.848084754825379
149,2005-06-01,6.24728580636761
150,2005-07-01,6.703048098901784
151,2005-08-01,6.86983535156487
152,2005-09-01,7.004987225029039
153,2005-10-01,7.254984246030851
154,2005-11-01,7.525438133974253
155,2005-12-01,7.479228945745938
156,2006-01-01,7.395814472597332
157,2006-02-01,7.25730213960999
158,2006-03-01,7.034388110998008
159,2006-04-01,6.823438110805693
160,2006-05-01,6.892683665944923
161,2006-06-01,7.076308036196059
162,2006-07-01,7.342590195298442
