"","RPATH","Biomass"
"1","OtherDemersals",0.432734050598535
"2","SmoothDogfish",0.00320750756033222
"3","SpinyDogfish",1.48373048805475
"4","Freshwater",0.00573757240999158
"5","WinterSkate",0.121550262300165
"6","LittleSkate",0.053968909549928
"7","OtherSkates",1.00719730883279
"8","SmPelagics",0.126668552457131
"9","AtlHerring",0.299095159986251
"10","RiverHerring",0.0153705936969472
"11","OtherPelagics",0.00381919879023174
"12","Mesopelagics",0.000588865217604493
"13","SilverHake",1.0147101039348
"14","Cod",1.95866452580344
"15","Haddock",1.24525862107272
"16","Pollock",1.38793769572008
"17","WhiteHake",1.82796183100912
"18","RedHake",0.417163816593619
"19","AmPlaice",0.472313472232834
"20","Fourspot",0.00523581700394663
"21","YTFlounder",0.0351525402513914
"22","WinterFlounder",0.0955676968673548
"23","WitchFlounder",0.169013353458123
"24","Windowpane",0.0078843528185388
"25","SmFlatfishes",4.83881193542262e-06
"26","AtlMackerel",0.0597976570987786
"27","Butterfish",0.0168047820376567
"28","BlackSeaBass",0.00169201878515936
"29","Redfish",0.442019366996107
"30","OceanPout",0.0381441043834577
"31","Goosefish",0.278907896973008
"32","AmLobster",0.0822732998505953
"33","OtherShrimps",0.168277999009333
"34","NShrimp",0.0719462333809239
"35","Macrobenthos",0.00107116415845134
"36","Megabenthos",0.00138076520650045
"37","AtlScallop",0.036950045970254
"38","SouthernDemersals",0
"39","OtherCephalopods",9.02117740221062e-05
"40","Illex",0.341833722656586
"41","Loligo",0.0374496169510985
