"Group","Type","Biomass","PB","QB","EE","ProdCons","BioAcc","Unassim","DetInput","Detritus","Discards","Fixed Gear","HMS Fleet","LG Mesh","Scallop Dredge","Trap","Other Dredge","Other","Pelagic","SM Mesh","Clam Dredge","Fixed Gear.disc","HMS Fleet.disc","LG Mesh.disc","Scallop Dredge.disc","Trap.disc","Other Dredge.disc","Other.disc","Pelagic.disc","SM Mesh.disc","Clam Dredge.disc"
"AtlMackerel",0,0.0616743887971616,0.55,2.17,NA,NA,0,0.2,NA,1,0,0.0028960118325574,0.000301205904579086,0.000340936919637714,0,0,0,0.000529078777562169,0.00367644635847958,0.00117896369848923,0,0,0,0,0,0,0,0,0,0,0
"AtlHalibut",0,0.0150173694305191,0.23,1.53,NA,NA,0,0.2,NA,1,0,0.000225837619445694,4.38836294121748e-05,0.00024781680845556,0,0,0,3.48568636279818e-08,0,0.000151535857514697,0,0,0,0,0,0,0,0,0,0,0
"SummerFlounder",0,0.00163839068865525,1.12,3.34,NA,NA,0,0.2,NA,1,0,1.57146360189485e-06,5.94774283038796e-05,0.000105196077936825,0,0,0,0,0.00138579270830313,0.000743855636406356,0,0,0,0,0,0,0,0,0,0,0
"Cusk",0,0.195865586383786,0.52,1.74,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OtherDemersals",0,0.224118237613153,0.52,1.74,NA,NA,0,0.2,NA,1,0,0.00883374202886822,0.00144965174118967,0.0125189597297813,0,0.000175144120776066,0,2.59102686301331e-05,0.000494053439093319,0.0147663061475155,0,0,2.28711096550261e-05,4.02469086820107e-05,0,5.86770138862312e-06,0,0,0,6.12751966541282e-05,0
"HMS",0,0.00587,0.5,2.36,NA,NA,0,0.2,NA,1,0,0,1.60341572688716e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OtherSkates",0,1.02557399366435,0.47,3.18,NA,NA,-0.0359973409770149,0.2,NA,1,0,0.000192154596772347,4.29402646445907e-06,0.0014418979007173,0,0,0,4.97422242408204e-07,0,0.002189021149575,0,0,0,0.000177043629298136,0,0,0,0,0,3.08222078561003e-05,0
"RedHake",0,0.425846156748044,0.45,0.94,NA,NA,0.00739798334913681,0.2,NA,1,0,0.000340559303615077,9.34222040002626e-05,0.0038060993674825,0,0,0,0,0,0.0115685921841954,0,0,0,0.000142348201672382,0,0,0,0,0,0.000437570475511341,0
"Barndoor",0,0,0.45,0.83,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fourspot",0,0.00540252936184431,0.45,0.92,NA,NA,0,0.2,NA,1,0,0,0,1.98626027906783e-05,0,0,0,0,0,4.21012817853307e-05,0,0,0,0,0,0,0,0,0,0,0
"SmoothDogfish",0,0.00331000567003193,0.45,2.44,NA,NA,0,0.2,NA,1,0,0,0,7.55232045272939e-08,0,0,0,0,0,5.28662431691057e-07,0,0,0,0,0,0,0,0,0,0,0
"Pollock",0,1.37273340334821,0.42,4,NA,NA,-0.0690193188979843,0.2,NA,1,0,0.0600951335619545,5.00244405372133e-05,0.0487872581304957,0,0,0,0,4.66210551024256e-06,0.0318806379221236,0,0.000692439434298857,0,6.45746264022356e-05,0,0,0,0,0,0,0
"Goosefish",0,0.283685221585257,0.4,2.44,NA,NA,0,0.2,NA,1,0,0.00420448136662533,4.43747238908446e-05,0.0128079899382459,0,0,0,2.98897605609944e-06,0,0.0237790299410206,0,0,0,0.000187469900159918,0,0,0,0,0,0,0
"SilverHake",0,1.01960356512855,0.4,3.06,NA,NA,0.034535270733466,0.2,NA,1,0,0.000474235375628387,1.3350178769517e-05,0.0173327603740404,0,0,0,0,0,0.0711546882128046,0,0,0,0.000712919941100589,0,0,0,0,0,0.00480620252995486,0
"WhiteHake",0,1.82402091741481,0.38,3.1,NA,NA,-0.0198508700911014,0.2,NA,1,0,0.0203446480402518,0.000490015852389744,0.019848814964621,0,0,0,4.06663408993121e-08,0,0.0204984050545765,0,0.000101526509306186,3.66234523526168e-06,0.000161764364981553,0,0,0,0,0,0.000291525856593548,0
