,Group,Year,Stdev,Value,Type,Scale
107,AtlHerring,1990,2.469464969,3.451767326,absolute,1
108,AtlHerring,1991,5.174449611,8.305357299,absolute,1
109,AtlHerring,1992,7.584377879,23.09128046,absolute,1
110,AtlHerring,1993,0.839280063,4.089448331,absolute,1
111,AtlHerring,1994,1.14469206,4.714825592,absolute,1
112,AtlHerring,1995,13.24602438,31.9461697,absolute,1
113,AtlHerring,1996,2.147642579,7.17923374,absolute,1
114,AtlHerring,1997,2.048177663,8.643474764,absolute,1
115,AtlHerring,1998,0.670856139,6.582995566,absolute,1
116,AtlHerring,1999,0.842924816,4.482402125,absolute,1
117,AtlHerring,2000,1.66440848,6.49676513,absolute,1
118,AtlHerring,2001,2.562808625,9.619995385,absolute,1
119,AtlHerring,2002,12.30393809,29.64167656,absolute,1
120,AtlHerring,2003,2.592690376,15.05758154,absolute,1
121,AtlHerring,2004,3.189519601,13.41135531,absolute,1
122,AtlHerring,2005,2.296569522,10.45774391,absolute,1
123,AtlHerring,2006,3.921891933,11.00321549,absolute,1
124,AtlHerring,2007,1.658014423,9.266364503,absolute,1
125,AtlHerring,2008,2.707652672,9.833445495,absolute,1
126,AtlHerring,2009,2.828710892,7.64504514,absolute,1
127,AtlHerring,2010,0.624189367,3.36107396,absolute,1
128,AtlHerring,2011,2.743526052,7.348178377,absolute,1
129,AtlHerring,2012,1.169479643,7.238403507,absolute,1
130,AtlHerring,2013,2.549534239,10.99518274,absolute,1
131,AtlHerring,2014,3.956994867,14.68068587,absolute,1
132,AtlHerring,2015,2.423489798,12.95247384,absolute,1
133,AtlHerring,2016,11.88909718,27.21800586,absolute,1
134,AtlHerring,2017,5.136403961,12.17356404,absolute,1
135,AtlHerring,2018,0.524228508,1.543104777,absolute,1
136,AtlHerring,2019,2.90038752,4.334553569,absolute,1
137,AtlMackerel,1985,0.28320184,1.547206821,absolute,1
138,AtlMackerel,1986,0.002528313,0.053265381,absolute,1
139,AtlMackerel,1987,0.030107425,0.237097084,absolute,1
140,AtlMackerel,1988,0.000112567,0.029279722,absolute,1
141,AtlMackerel,1989,0.004910582,0.026255731,absolute,1
142,AtlMackerel,1990,0.000597873,0.01040705,absolute,1
143,AtlMackerel,1991,0.001339707,0.027566896,absolute,1
144,AtlMackerel,1992,0.000438137,0.168827137,absolute,1
145,AtlMackerel,1993,0.000728809,0.021850469,absolute,1
146,AtlMackerel,1994,0.001013295,0.236359774,absolute,1
147,AtlMackerel,1995,0.000565338,0.047121227,absolute,1
148,AtlMackerel,1996,0.000545478,0.006218138,absolute,1
149,AtlMackerel,1997,0.001198633,0.413608425,absolute,1
150,AtlMackerel,1998,0.016539037,0.209374865,absolute,1
151,AtlMackerel,1999,0.003854899,0.050323133,absolute,1
152,AtlMackerel,2000,0.001827014,0.025346367,absolute,1
153,AtlMackerel,2001,0.002426737,0.020015373,absolute,1
154,AtlMackerel,2002,0.010133306,0.175445364,absolute,1
155,AtlMackerel,2003,0.000378182,0.00460958,absolute,1
